t,latencyMs
1782909780292,4
1782909780798,5
1782909781301,2
1782909781805,3
1782909782307,1
1782909782812,3
1782909783313,1
1782909783818,3
1782909784323,4
1782909784827,3
1782909785329,1
1782909785832,2
1782909786333,1
1782909786835,2
1782909787339,2
1782909787842,2
1782909788345,1
1782909788849,3
1782909789352,3
1782909789863,8
1782909790367,3
1782909790870,2
1782909791372,1
1782909791876,3
1782909792379,2
1782909792884,4
1782909793389,4
1782909793892,2
1782909794394,1
1782909794897,2
1782909795400,2
