t,ready,unacked,depth
1782909624439,79,1,80
1782909624943,79,1,80
1782909625448,79,1,80
1782909625956,76,1,77
1782909626460,76,1,77
1782909626964,76,1,77
1782909627470,76,1,77
1782909627976,76,1,77
1782909628480,76,1,77
1782909628983,76,1,77
1782909629488,76,1,77
1782909629992,76,1,77
1782909630498,76,1,77
1782909631003,72,1,73
1782909631508,72,1,73
1782909632011,72,1,73
1782909632516,72,1,73
1782909633023,72,1,73
1782909633527,72,1,73
1782909634030,72,1,73
1782909634536,72,1,73
1782909635039,72,1,73
1782909635549,72,1,73
1782909636053,71,1,72
1782909636556,71,1,72
1782909637063,71,1,72
1782909637568,71,1,72
1782909638073,71,1,72
1782909638577,71,1,72
1782909639080,71,1,72
1782909639585,71,1,72
1782909640091,71,1,72
1782909640596,71,1,72
1782909641100,71,1,72
1782909641605,71,1,72
1782909642110,71,1,72
1782909642616,71,1,72
1782909643121,71,1,72
1782909643625,71,1,72
1782909644128,71,1,72
1782909644631,71,1,72
1782909645136,71,1,72
1782909645641,71,1,72
1782909646145,67,1,68
1782909646654,67,1,68
1782909647159,67,1,68
1782909647665,67,1,68
1782909648171,67,1,68
1782909648679,67,1,68
1782909649194,67,1,68
1782909649697,67,1,68
1782909650203,67,1,68
1782909650709,67,1,68
1782909651217,63,1,64
1782909651723,63,1,64
1782909652228,63,1,64
1782909652736,63,1,64
1782909653240,63,1,64
1782909653745,63,1,64
1782909654286,63,1,64
1782909654792,63,1,64
1782909655297,63,1,64
1782909655803,63,1,64
1782909656306,59,1,60
1782909656812,59,1,60
1782909657319,59,1,60
1782909657825,59,1,60
1782909658331,59,1,60
1782909658837,59,1,60
1782909659341,59,1,60
1782909659849,59,1,60
1782909660352,59,1,60
1782909660860,55,1,56
1782909661367,55,1,56
1782909661873,55,1,56
1782909662377,55,1,56
1782909662884,55,1,56
1782909663390,55,1,56
1782909663897,55,1,56
1782909664403,55,1,56
1782909664909,55,1,56
1782909665413,55,1,56
1782909665919,52,1,53
1782909666425,52,1,53
1782909666932,52,1,53
1782909667436,52,1,53
1782909667943,52,1,53
1782909668447,52,1,53
1782909668954,52,1,53
1782909669459,52,1,53
1782909669967,52,1,53
1782909670475,52,1,53
1782909670979,52,1,53
1782909671488,52,1,53
1782909671994,52,1,53
1782909672499,52,1,53
1782909673007,52,1,53
1782909673512,52,1,53
1782909674016,52,1,53
1782909674520,52,1,53
1782909675024,52,1,53
1782909675530,52,1,53
1782909676036,48,1,49
1782909676540,48,1,49
1782909677043,48,1,49
1782909677546,48,1,49
1782909678053,48,1,49
1782909678559,48,1,49
1782909679064,48,1,49
1782909679567,48,1,49
1782909680071,48,1,49
1782909680573,48,1,49
1782909681078,48,1,49
1782909681580,48,1,49
1782909682085,48,1,49
1782909682622,48,1,49
1782909683138,48,1,49
1782909683641,48,1,49
1782909684146,48,1,49
1782909684649,48,1,49
1782909685153,48,1,49
1782909685657,48,1,49
1782909686163,45,1,46
1782909686668,45,1,46
1782909687171,45,1,46
1782909687677,45,1,46
1782909688184,45,1,46
1782909688690,45,1,46
1782909689195,45,1,46
1782909689701,45,1,46
1782909690206,45,1,46
1782909690713,45,1,46
1782909691220,42,1,43
1782909691727,42,1,43
1782909692231,42,1,43
1782909692735,42,1,43
1782909693240,42,1,43
1782909693746,42,1,43
1782909694252,42,1,43
1782909694758,42,1,43
1782909695263,42,1,43
1782909695770,42,1,43
1782909696277,42,1,43
1782909696784,42,1,43
1782909697289,42,1,43
1782909697792,42,1,43
1782909698297,42,1,43
1782909698804,42,1,43
1782909699311,42,1,43
1782909699820,42,1,43
1782909700326,42,1,43
1782909700831,42,1,43
1782909701334,40,1,41
1782909701837,40,1,41
1782909702343,40,1,41
1782909702850,40,1,41
1782909703355,40,1,41
1782909703861,40,1,41
1782909704367,40,1,41
1782909704870,40,1,41
1782909705375,40,1,41
1782909705881,38,1,39
1782909706387,38,1,39
1782909706893,38,1,39
1782909707399,38,1,39
1782909707905,38,1,39
1782909708408,38,1,39
1782909708914,38,1,39
1782909709419,38,1,39
1782909709925,38,1,39
1782909710429,38,1,39
1782909710935,34,1,35
1782909711442,34,1,35
1782909711949,34,1,35
1782909712456,34,1,35
1782909712961,34,1,35
1782909713465,34,1,35
1782909713969,34,1,35
1782909714475,34,1,35
1782909714980,34,1,35
1782909715486,34,1,35
1782909715990,32,1,33
1782909716497,32,1,33
1782909717001,32,1,33
1782909717509,32,1,33
1782909718014,32,1,33
1782909718521,32,1,33
1782909719145,32,1,33
1782909719649,32,1,33
1782909720153,32,1,33
1782909720657,32,1,33
1782909721162,28,1,29
1782909721666,28,1,29
1782909722169,28,1,29
1782909722673,28,1,29
1782909723179,28,1,29
1782909723685,28,1,29
1782909724191,28,1,29
1782909724695,28,1,29
1782909725199,28,1,29
1782909725702,28,1,29
1782909726206,28,1,29
1782909726712,28,1,29
1782909727216,28,1,29
1782909727720,28,1,29
1782909728224,28,1,29
1782909728729,28,1,29
1782909729235,28,1,29
1782909729738,28,1,29
1782909730247,28,1,29
1782909730751,28,1,29
1782909731255,22,1,23
1782909731762,22,1,23
1782909732267,22,1,23
1782909732774,22,1,23
1782909733281,22,1,23
1782909733786,22,1,23
1782909734293,22,1,23
1782909734799,22,1,23
1782909735304,22,1,23
1782909735809,22,1,23
1782909736315,19,1,20
1782909736822,19,1,20
1782909737325,19,1,20
1782909738046,19,1,20
1782909738551,19,1,20
1782909739056,19,1,20
1782909739561,19,1,20
1782909740065,19,1,20
1782909740569,19,1,20
1782909741076,14,1,15
1782909741583,14,1,15
1782909742092,14,1,15
1782909742599,14,1,15
1782909743103,14,1,15
1782909743608,14,1,15
1782909744114,14,1,15
1782909744622,14,1,15
1782909745125,14,1,15
1782909745627,14,1,15
1782909746131,12,1,13
1782909746638,12,1,13
1782909747144,12,1,13
1782909747650,12,1,13
1782909748156,12,1,13
1782909748664,12,1,13
1782909749169,12,1,13
1782909749674,12,1,13
1782909750179,12,1,13
1782909750685,12,1,13
1782909751189,12,1,13
1782909751694,12,1,13
1782909752198,12,1,13
1782909752703,12,1,13
1782909753210,12,1,13
1782909753717,12,1,13
1782909754223,12,1,13
1782909754728,12,1,13
1782909755232,12,1,13
1782909755736,12,1,13
1782909756239,10,1,11
1782909756744,10,1,11
1782909757250,10,1,11
1782909757753,10,1,11
1782909758258,10,1,11
1782909758763,10,1,11
1782909759267,10,1,11
1782909759772,10,1,11
1782909760278,10,1,11
1782909760783,10,1,11
1782909761289,7,1,8
1782909761795,7,1,8
1782909762301,7,1,8
1782909762808,7,1,8
1782909763312,7,1,8
1782909763816,7,1,8
1782909764323,7,1,8
1782909764829,7,1,8
1782909765333,7,1,8
1782909765838,7,1,8
1782909766345,6,1,7
1782909766847,6,1,7
1782909767351,6,1,7
1782909767854,6,1,7
1782909768360,6,1,7
1782909768864,6,1,7
1782909769370,6,1,7
1782909769877,6,1,7
1782909770383,6,1,7
1782909770892,3,1,4
1782909771397,3,1,4
1782909771902,3,1,4
1782909772406,3,1,4
1782909772912,3,1,4
1782909773416,3,1,4
1782909773922,3,1,4
1782909774427,3,1,4
1782909774932,3,1,4
