t,ready,unacked,depth
1782909505967,0,1,1
1782909506471,0,1,1
1782909506975,0,1,1
1782909507479,0,1,1
1782909507983,0,1,1
1782909508487,0,1,1
1782909508990,0,1,1
1782909509494,0,1,1
1782909510000,0,1,1
1782909510506,0,1,1
1782909511012,99,1,100
1782909511519,99,1,100
1782909512022,99,1,100
1782909512527,99,1,100
1782909513033,99,1,100
1782909513539,99,1,100
1782909514044,99,1,100
1782909514552,99,1,100
1782909515056,99,1,100
1782909515562,99,1,100
1782909516068,124,1,125
1782909516574,124,1,125
1782909517080,124,1,125
1782909517586,124,1,125
1782909518091,124,1,125
1782909518598,124,1,125
1782909519103,124,1,125
1782909519611,124,1,125
1782909520114,124,1,125
1782909520621,124,1,125
1782909521125,123,1,124
1782909521630,123,1,124
1782909522134,123,1,124
1782909522637,123,1,124
1782909523142,123,1,124
1782909523648,123,1,124
1782909524153,123,1,124
1782909524660,123,1,124
1782909525166,123,1,124
1782909525672,123,1,124
1782909526178,123,1,124
1782909526684,123,1,124
1782909527189,123,1,124
1782909527691,123,1,124
1782909528196,123,1,124
1782909528702,123,1,124
1782909529207,123,1,124
1782909529714,123,1,124
1782909530218,123,1,124
1782909530725,121,1,122
1782909531232,121,1,122
1782909531739,121,1,122
1782909532244,121,1,122
1782909532750,121,1,122
1782909533253,121,1,122
1782909533759,121,1,122
1782909534269,121,1,122
1782909534774,121,1,122
1782909535280,121,1,122
1782909535789,118,1,119
1782909536294,118,1,119
1782909536800,118,1,119
1782909537306,118,1,119
1782909537812,118,1,119
1782909538316,118,1,119
1782909538823,118,1,119
1782909539328,118,1,119
1782909539836,118,1,119
1782909540344,118,1,119
1782909540849,118,1,119
1782909541355,118,1,119
1782909541860,118,1,119
1782909542367,118,1,119
1782909542874,118,1,119
1782909543379,118,1,119
1782909543882,118,1,119
1782909544389,118,1,119
1782909544894,118,1,119
1782909545399,118,1,119
1782909545904,116,1,117
1782909546410,116,1,117
1782909546916,116,1,117
1782909547421,116,1,117
1782909547928,116,1,117
1782909548432,116,1,117
1782909548935,116,1,117
1782909549440,116,1,117
1782909549944,116,1,117
1782909550451,116,1,117
1782909550955,116,1,117
1782909551459,116,1,117
1782909551967,116,1,117
1782909552473,116,1,117
1782909552979,116,1,117
1782909553485,116,1,117
1782909553992,116,1,117
1782909554497,116,1,117
1782909555003,116,1,117
1782909555509,116,1,117
1782909556016,115,1,116
1782909556519,115,1,116
1782909557024,115,1,116
1782909557531,115,1,116
1782909558036,115,1,116
1782909558542,115,1,116
1782909559049,115,1,116
1782909559553,115,1,116
1782909560058,115,1,116
1782909560562,115,1,116
1782909561067,112,1,113
1782909561575,112,1,113
1782909562079,112,1,113
1782909562586,112,1,113
1782909563090,112,1,113
1782909563594,112,1,113
1782909564101,112,1,113
1782909564603,112,1,113
1782909565107,112,1,113
1782909565614,112,1,113
1782909566118,112,1,113
1782909566623,112,1,113
1782909567127,112,1,113
1782909567633,112,1,113
1782909568138,112,1,113
1782909568643,112,1,113
1782909569148,112,1,113
1782909569653,112,1,113
1782909570157,112,1,113
1782909570668,112,1,113
1782909571175,109,1,110
1782909571680,109,1,110
1782909572185,109,1,110
1782909572693,109,1,110
1782909573199,109,1,110
1782909573706,109,1,110
1782909574211,109,1,110
1782909574717,109,1,110
1782909575219,109,1,110
1782909575725,109,1,110
1782909576231,106,1,107
1782909576738,106,1,107
1782909577243,106,1,107
1782909577749,106,1,107
1782909578253,106,1,107
1782909578759,106,1,107
1782909579265,106,1,107
1782909579770,106,1,107
1782909580274,106,1,107
1782909580778,101,1,102
1782909581282,101,1,102
1782909581789,101,1,102
1782909582296,101,1,102
1782909582803,101,1,102
1782909583308,101,1,102
1782909583815,101,1,102
1782909584320,101,1,102
1782909584826,101,1,102
1782909585334,101,1,102
1782909585837,100,1,101
1782909586342,100,1,101
1782909586849,100,1,101
1782909587355,100,1,101
1782909587860,100,1,101
1782909588367,100,1,101
1782909588874,100,1,101
1782909589381,100,1,101
1782909589887,100,1,101
1782909590391,100,1,101
1782909590899,100,1,101
1782909591406,100,1,101
1782909591910,100,1,101
1782909592416,100,1,101
1782909592921,100,1,101
1782909593424,100,1,101
1782909593929,100,1,101
1782909594436,100,1,101
1782909594941,100,1,101
1782909595446,100,1,101
1782909595950,95,1,96
1782909596452,95,1,96
1782909596959,95,1,96
1782909597465,95,1,96
1782909597969,95,1,96
1782909598475,95,1,96
1782909598986,95,1,96
1782909599490,95,1,96
1782909599998,95,1,96
1782909600503,95,1,96
1782909601008,90,1,91
1782909601512,90,1,91
1782909602015,90,1,91
1782909602519,90,1,91
1782909603025,90,1,91
1782909603529,90,1,91
1782909604034,90,1,91
1782909604537,90,1,91
1782909605041,90,1,91
1782909605545,90,1,91
1782909606050,87,1,88
1782909606554,87,1,88
1782909607056,87,1,88
1782909607560,87,1,88
1782909608064,87,1,88
1782909608568,87,1,88
1782909609073,87,1,88
1782909609580,87,1,88
1782909610098,87,1,88
1782909610610,87,1,88
1782909611115,83,1,84
1782909611621,83,1,84
1782909612125,83,1,84
1782909612629,83,1,84
1782909613135,83,1,84
1782909613642,83,1,84
1782909614146,83,1,84
1782909614649,83,1,84
1782909615154,83,1,84
1782909615836,83,1,84
1782909616344,83,1,84
1782909616846,83,1,84
1782909617355,83,1,84
1782909617859,83,1,84
1782909618367,83,1,84
1782909618873,83,1,84
1782909619380,83,1,84
1782909619884,83,1,84
1782909620389,83,1,84
1782909620897,79,1,80
1782909621403,79,1,80
1782909621911,79,1,80
1782909622418,79,1,80
1782909622925,79,1,80
1782909623426,79,1,80
1782909623932,79,1,80
