t,latencyMs
1782909706944,3
1782909707447,2
1782909707950,3
1782909708453,2
1782909708957,3
1782909709461,4
1782909709963,1
1782909710465,2
1782909710969,3
1782909711473,3
1782909711977,3
1782909712481,4
1782909712985,3
1782909713486,1
1782909713988,1
1782909714492,2
1782909714995,2
1782909715498,2
1782909716000,2
1782909716502,2
1782909717004,2
1782909717507,2
1782909718011,3
1782909718517,4
1782909719111,76
1782909719614,2
1782909720116,1
1782909720619,3
1782909721123,3
1782909721627,3
1782909722129,1
1782909722631,2
1782909723133,2
1782909723636,2
1782909724139,2
1782909724639,0
1782909725142,1
1782909725645,2
1782909726150,4
1782909726654,3
1782909727157,2
1782909727660,2
1782909728164,3
1782909728668,2
1782909729171,2
1782909729673,1
1782909730174,1
1782909730676,1
1782909731179,2
1782909731683,3
1782909732188,4
1782909732692,2
1782909733197,4
1782909733699,1
1782909734203,2
1782909734706,1
1782909735208,2
1782909735716,7
1782909736223,6
1782909736726,2
1782909737228,1
1782909737741,12
1782909738313,59
1782909738817,3
1782909739321,3
1782909739830,7
1782909740332,1
1782909740836,4
1782909741339,2
1782909741844,4
1782909742346,2
1782909742849,1
1782909743351,1
1782909743855,3
1782909744358,2
1782909744862,3
1782909745366,3
1782909745868,1
1782909746374,4
1782909746878,3
1782909747382,4
1782909747888,5
1782909748392,3
1782909748896,3
1782909749399,2
1782909749904,4
1782909750407,2
1782909750909,1
1782909751412,2
1782909751916,3
1782909752418,2
1782909752922,3
1782909753425,2
1782909753929,3
1782909754433,3
1782909754934,1
1782909755436,2
1782909755939,3
1782909756440,1
1782909756943,3
1782909757447,4
1782909757951,3
1782909758454,2
1782909758958,3
1782909759461,2
1782909759963,1
1782909760467,3
1782909760971,3
1782909761473,1
1782909761977,2
1782909762481,3
1782909762984,3
1782909763489,3
1782909763994,4
1782909764495,1
1782909764997,1
1782909765499,1
1782909766002,2
1782909766507,5
1782909767008,2
1782909767509,1
1782909768012,2
1782909768517,4
1782909769020,2
1782909769525,4
1782909770027,2
1782909770529,1
1782909771032,2
1782909771534,2
1782909772038,3
1782909772540,1
1782909773042,2
1782909773545,2
1782909774047,1
1782909774550,2
