t,latencyMs
1782909371002,4
1782909371505,3
1782909372008,2
1782909372512,2
1782909373017,4
1782909373522,4
1782909374024,1
1782909374528,2
1782909375032,2
1782909375537,4
1782909376039,1
1782909376543,3
1782909377045,1
1782909377548,1
1782909378052,3
1782909378555,2
1782909379063,6
1782909379565,2
1782909380068,2
1782909380570,2
1782909381072,1
1782909381575,2
1782909382078,2
1782909382582,3
1782909383085,2
1782909383587,1
1782909384089,2
1782909384591,2
1782909385093,1
1782909385597,2
1782909386100,2
1782909386602,2
1782909387106,3
1782909387609,2
1782909388113,2
1782909388615,1
1782909389119,3
1782909389621,2
1782909390123,1
1782909390627,3
1782909391131,4
1782909391634,3
1782909392137,2
1782909392639,1
1782909393143,2
1782909393646,3
1782909394150,3
1782909394654,3
1782909395155,1
1782909395658,1
1782909396162,3
1782909396666,3
1782909397169,2
1782909397672,3
1782909398174,1
1782909398678,3
1782909399179,1
1782909399682,2
1782909400184,1
1782909400688,2
1782909401191,2
1782909401694,2
1782909402197,3
1782909402701,4
1782909403205,3
1782909403708,2
1782909404211,2
1782909404713,2
1782909405216,2
1782909405718,1
1782909406221,1
1782909406726,3
1782909407228,1
1782909407732,3
1782909408235,2
1782909408739,2
1782909409244,3
1782909409746,1
1782909410249,2
1782909410753,3
1782909411256,2
1782909411759,1
1782909412263,3
1782909412767,2
1782909413269,1
1782909413773,2
1782909414275,3
1782909414779,3
1782909415283,3
1782909415787,3
1782909416289,1
1782909416793,3
1782909417296,3
1782909417801,4
1782909418304,3
1782909418807,2
1782909419310,2
1782909419814,2
1782909420319,4
1782909420825,5
1782909421329,4
1782909421831,1
1782909422334,1
1782909422837,3
1782909423340,3
1782909423844,3
1782909424348,3
1782909424851,2
1782909425353,1
1782909425856,2
1782909426360,3
1782909426863,1
1782909427367,3
1782909427872,4
1782909428375,2
1782909428878,2
1782909429381,3
1782909429884,2
1782909430389,3
1782909430892,2
1782909431395,2
1782909431900,3
1782909432403,2
1782909432906,3
1782909433411,4
1782909433915,3
1782909434418,1
1782909434920,1
1782909435423,2
1782909435927,2
1782909436430,3
1782909436935,4
1782909437437,1
1782909437941,3
1782909438445,3
1782909438947,2
1782909439450,2
1782909439952,2
1782909440453,2
1782909440954,2
1782909441458,3
1782909441961,3
1782909442464,3
1782909442966,2
1782909443468,1
1782909443971,3
1782909444475,3
1782909444978,2
1782909445482,3
1782909445984,1
1782909446489,4
1782909446992,2
1782909447496,3
1782909447999,1
1782909448503,3
1782909449007,4
1782909449510,2
1782909450013,1
1782909450518,3
1782909451021,3
1782909451524,3
1782909452027,1
1782909452530,2
1782909453034,3
1782909453536,2
1782909454041,3
1782909454545,2
1782909455048,1
1782909455552,2
1782909456056,3
1782909456559,3
1782909457063,2
1782909457568,3
1782909458071,2
1782909458572,1
1782909459076,3
1782909459578,1
1782909460081,1
1782909460585,2
1782909461088,2
1782909461592,4
1782909462095,2
1782909462597,2
1782909463099,2
1782909463604,3
1782909464105,1
1782909464610,3
1782909465112,1
1782909465616,3
1782909466120,3
1782909466624,4
1782909467126,2
1782909467629,1
1782909468133,3
1782909468638,3
1782909469139,1
1782909469643,3
1782909470145,2
1782909470648,2
1782909471149,2
1782909471653,3
1782909472156,3
1782909472659,3
1782909473160,2
1782909473662,2
1782909474165,2
1782909474668,1
1782909475181,11
1782909475685,2
1782909476187,1
1782909476691,3
1782909477195,3
1782909477696,2
1782909478198,2
1782909478701,3
1782909479203,2
1782909479706,1
1782909480210,4
1782909480713,3
1782909481216,4
1782909481719,3
1782909482222,2
1782909482726,2
1782909483231,4
1782909483735,3
1782909484238,3
1782909484742,3
1782909485245,1
1782909485750,4
1782909486253,3
1782909486757,3
1782909487261,3
1782909487765,3
1782909488268,2
1782909488772,3
1782909489277,3
1782909489780,3
1782909490284,2
1782909490787,2
1782909491289,2
1782909491793,2
1782909492295,2
1782909492798,2
1782909493302,3
1782909493805,3
1782909494308,2
1782909494812,3
1782909495316,3
1782909495819,2
1782909496322,3
1782909496826,3
1782909497329,2
1782909497831,2
1782909498336,3
1782909498839,3
1782909499348,9
1782909499850,2
1782909500352,1
1782909500855,1
1782909501358,1
1782909501862,3
1782909502364,3
1782909502868,2
1782909503372,2
1782909503875,3
1782909504379,3
1782909504883,3
