t,ready,unacked,depth
1782909483758,18,1,19
1782909484263,18,1,19
1782909484768,18,1,19
1782909485271,18,1,19
1782909485777,14,1,15
1782909486283,14,1,15
1782909486791,14,1,15
1782909487298,14,1,15
1782909487804,14,1,15
1782909488309,14,1,15
1782909488854,14,1,15
1782909489359,14,1,15
1782909489869,14,1,15
1782909490372,14,1,15
1782909490876,14,1,15
1782909491383,14,1,15
1782909491889,14,1,15
1782909492396,14,1,15
1782909492902,14,1,15
1782909493409,14,1,15
1782909493915,14,1,15
1782909494421,14,1,15
1782909494925,14,1,15
1782909495431,14,1,15
1782909495936,10,1,11
1782909496438,10,1,11
1782909496946,10,1,11
1782909497449,10,1,11
1782909497958,10,1,11
1782909498465,10,1,11
1782909498971,10,1,11
1782909499475,10,1,11
1782909499978,10,1,11
1782909500482,10,1,11
1782909501001,6,1,7
1782909501505,6,1,7
1782909502012,6,1,7
1782909502528,6,1,7
1782909503033,6,1,7
1782909503537,6,1,7
1782909504040,6,1,7
1782909504545,6,1,7
1782909505053,6,1,7
