t,ready,unacked,depth
1782909371008,0,1,1
1782909371514,0,1,1
1782909372020,0,1,1
1782909372524,0,1,1
1782909373030,0,1,1
1782909373536,0,1,1
1782909374038,0,1,1
1782909374542,0,1,1
1782909375045,0,1,1
1782909375552,0,1,1
1782909376056,60,1,61
1782909376560,60,1,61
1782909377065,60,1,61
1782909377569,60,1,61
1782909378074,60,1,61
1782909378582,60,1,61
1782909379087,60,1,61
1782909379591,60,1,61
1782909380095,60,1,61
1782909380599,60,1,61
1782909381103,56,1,57
1782909381606,56,1,57
1782909382122,56,1,57
1782909382628,56,1,57
1782909383133,56,1,57
1782909383637,56,1,57
1782909384142,56,1,57
1782909384645,56,1,57
1782909385158,56,1,57
1782909385664,53,1,54
1782909386170,53,1,54
1782909386676,53,1,54
1782909387182,53,1,54
1782909387686,53,1,54
1782909388191,53,1,54
1782909388696,53,1,54
1782909389201,53,1,54
1782909389706,53,1,54
1782909390211,53,1,54
1782909390717,53,1,54
1782909391223,53,1,54
1782909391729,53,1,54
1782909392233,53,1,54
1782909392741,53,1,54
1782909393247,53,1,54
1782909393753,53,1,54
1782909394259,53,1,54
1782909394763,53,1,54
1782909395266,53,1,54
1782909395772,51,1,52
1782909396279,51,1,52
1782909396783,51,1,52
1782909397289,51,1,52
1782909397796,51,1,52
1782909398301,51,1,52
1782909398807,51,1,52
1782909399310,51,1,52
1782909399818,51,1,52
1782909400324,51,1,52
1782909400826,50,1,51
1782909401329,50,1,51
1782909401835,50,1,51
1782909402342,50,1,51
1782909402850,50,1,51
1782909403356,50,1,51
1782909403861,50,1,51
1782909404377,50,1,51
1782909404882,50,1,51
1782909405389,50,1,51
1782909405892,47,1,48
1782909406396,47,1,48
1782909406905,47,1,48
1782909407409,47,1,48
1782909407911,47,1,48
1782909408419,47,1,48
1782909408925,47,1,48
1782909409431,47,1,48
1782909409936,47,1,48
1782909410441,47,1,48
1782909410944,45,1,46
1782909411450,45,1,46
1782909411957,45,1,46
1782909412461,45,1,46
1782909412967,45,1,46
1782909413473,45,1,46
1782909413978,45,1,46
1782909414483,45,1,46
1782909414987,45,1,46
1782909415494,45,1,46
1782909415998,45,1,46
1782909416503,45,1,46
1782909417009,45,1,46
1782909417516,45,1,46
1782909418021,45,1,46
1782909418527,45,1,46
1782909419031,45,1,46
1782909419535,45,1,46
1782909420040,45,1,46
1782909420547,45,1,46
1782909421054,44,1,45
1782909421557,44,1,45
1782909422063,44,1,45
1782909422567,44,1,45
1782909423073,44,1,45
1782909423579,44,1,45
1782909424088,44,1,45
1782909424594,44,1,45
1782909425099,44,1,45
1782909425605,44,1,45
1782909426110,40,1,41
1782909426615,40,1,41
1782909427119,40,1,41
1782909427625,40,1,41
1782909428129,40,1,41
1782909428634,40,1,41
1782909429141,40,1,41
1782909429647,40,1,41
1782909430151,40,1,41
1782909430658,40,1,41
1782909431161,40,1,41
1782909431667,40,1,41
1782909432169,40,1,41
1782909432673,40,1,41
1782909433180,40,1,41
1782909433687,40,1,41
1782909434192,40,1,41
1782909434697,40,1,41
1782909435204,40,1,41
1782909435709,36,1,37
1782909436213,36,1,37
1782909436719,36,1,37
1782909437223,36,1,37
1782909437725,36,1,37
1782909438231,36,1,37
1782909438740,36,1,37
1782909439247,36,1,37
1782909439752,36,1,37
1782909440256,36,1,37
1782909440764,33,1,34
1782909441271,33,1,34
1782909441777,33,1,34
1782909442281,33,1,34
1782909442784,33,1,34
1782909443289,33,1,34
1782909443795,33,1,34
1782909444304,33,1,34
1782909444810,33,1,34
1782909445314,33,1,34
1782909445818,30,1,31
1782909446323,30,1,31
1782909446830,30,1,31
1782909447336,30,1,31
1782909447841,30,1,31
1782909448347,30,1,31
1782909448854,30,1,31
1782909449358,30,1,31
1782909449864,30,1,31
1782909450368,30,1,31
1782909450876,30,1,31
1782909451382,30,1,31
1782909451886,30,1,31
1782909452391,30,1,31
1782909452898,30,1,31
1782909453401,30,1,31
1782909453909,30,1,31
1782909454414,30,1,31
1782909454921,30,1,31
1782909455425,30,1,31
1782909455930,29,1,30
1782909456437,29,1,30
1782909456943,29,1,30
1782909457448,29,1,30
1782909457954,29,1,30
1782909458457,29,1,30
1782909458966,29,1,30
1782909459473,29,1,30
1782909459977,29,1,30
1782909460483,29,1,30
1782909460988,27,1,28
1782909461493,27,1,28
1782909461998,27,1,28
1782909462503,27,1,28
1782909463009,27,1,28
1782909463514,27,1,28
1782909464017,27,1,28
1782909464520,27,1,28
1782909465024,27,1,28
1782909465531,27,1,28
1782909466038,24,1,25
1782909466545,24,1,25
1782909467051,24,1,25
1782909467557,24,1,25
1782909468064,24,1,25
1782909468570,24,1,25
1782909469072,24,1,25
1782909469578,24,1,25
1782909470084,24,1,25
1782909470588,24,1,25
1782909471100,22,1,23
1782909471606,22,1,23
1782909472112,22,1,23
1782909472617,22,1,23
1782909473123,22,1,23
1782909473627,22,1,23
1782909474132,22,1,23
1782909474637,22,1,23
1782909475159,22,1,23
1782909475668,18,1,19
1782909476174,18,1,19
1782909476680,18,1,19
1782909477188,18,1,19
1782909477694,18,1,19
1782909478200,18,1,19
1782909478705,18,1,19
1782909479210,18,1,19
1782909479712,18,1,19
1782909480224,18,1,19
1782909480729,18,1,19
1782909481234,18,1,19
1782909481739,18,1,19
1782909482241,18,1,19
1782909482747,18,1,19
1782909483253,18,1,19
