t,ready,unacked,depth
1782909796361,2,3,5
1782909796864,2,3,5
1782909797366,2,3,5
1782909797877,2,3,5
1782909798382,2,3,5
1782909798892,2,3,5
1782909799397,2,3,5
1782909799901,2,3,5
1782909800405,2,3,5
1782909800920,11,3,14
1782909801427,11,3,14
1782909801932,11,3,14
1782909802438,11,3,14
1782909802944,11,3,14
1782909803448,11,3,14
1782909803953,11,3,14
1782909804460,11,3,14
1782909804965,11,3,14
1782909805473,11,3,14
1782909805977,53,3,56
1782909806482,53,3,56
1782909806996,53,3,56
1782909807501,53,3,56
1782909808009,53,3,56
1782909808517,53,3,56
1782909809022,53,3,56
1782909809527,53,3,56
1782909810029,53,3,56
1782909810537,53,3,56
1782909811044,44,3,47
1782909811549,44,3,47
1782909812054,44,3,47
1782909812557,44,3,47
1782909813064,44,3,47
1782909813573,44,3,47
1782909814081,44,3,47
1782909814589,44,3,47
1782909815093,44,3,47
1782909815598,44,3,47
1782909816105,34,3,37
1782909816610,34,3,37
1782909817118,34,3,37
1782909817624,34,3,37
1782909818129,34,3,37
1782909818637,34,3,37
1782909819143,34,3,37
1782909819650,34,3,37
1782909820323,34,3,37
1782909820828,34,3,37
1782909821333,27,3,30
1782909821840,27,3,30
1782909822349,27,3,30
1782909822855,27,3,30
1782909823359,27,3,30
1782909823864,27,3,30
1782909824369,27,3,30
1782909824874,27,3,30
1782909825380,27,3,30
1782909825886,27,3,30
1782909826391,15,3,18
1782909826897,15,3,18
1782909827400,15,3,18
1782909827906,15,3,18
1782909828410,15,3,18
1782909828919,15,3,18
1782909829426,15,3,18
1782909829930,15,3,18
1782909830435,15,3,18
1782909830943,6,3,9
1782909831444,6,3,9
1782909831950,6,3,9
1782909832457,6,3,9
1782909832962,6,3,9
1782909833465,6,3,9
1782909833971,6,3,9
1782909834476,6,3,9
1782909834980,6,3,9
1782909835486,6,3,9
1782909835989,0,1,1
1782909836495,0,1,1
1782909836999,0,1,1
1782909837503,0,1,1
1782909838011,0,1,1
1782909838514,0,1,1
