t,latencyMs
1782909796357,3
1782909796859,2
1782909797362,2
1782909797864,2
1782909798366,1
1782909798869,2
1782909799373,4
1782909799880,6
1782909800382,2
1782909800893,5
1782909801395,1
1782909801898,2
1782909802401,2
1782909802906,5
1782909803408,2
1782909803911,2
1782909804414,3
1782909804917,3
1782909805425,7
1782909805928,2
1782909806430,2
1782909806933,2
1782909807436,3
1782909807940,3
1782909808442,2
1782909808945,3
1782909809449,3
1782909809951,1
1782909810457,5
1782909810960,2
1782909811464,3
1782909811967,2
1782909812471,4
1782909812973,2
1782909813476,2
1782909813981,3
1782909814484,2
1782909814986,2
1782909815488,1
1782909815993,3
1782909816495,1
1782909817000,3
1782909817504,3
1782909818008,2
1782909818511,2
1782909819014,2
1782909819523,8
1782909820026,2
1782909820527,2
1782909821029,1
1782909821531,1
1782909822036,3
1782909822541,3
1782909823042,2
1782909823544,2
1782909824047,2
1782909824551,2
1782909825053,2
1782909825556,2
1782909826057,1
1782909826560,2
1782909827063,1
1782909827564,1
1782909828067,2
1782909828571,3
1782909829073,2
1782909829576,3
1782909830078,2
1782909830581,2
1782909831086,4
1782909831588,1
1782909832092,3
1782909832596,2
1782909833103,6
1782909833606,2
1782909834111,5
1782909834614,2
1782909835117,2
1782909835621,3
1782909836124,3
1782909836626,1
1782909837130,3
1782909837634,3
1782909838137,3
