t,latencyMs
1782909839396,3
1782909839900,2
1782909840403,1
1782909840905,2
1782909841406,1
1782909841909,1
1782909842411,2
1782909842915,4
1782909843418,3
1782909843921,3
1782909844426,3
1782909844929,2
1782909845432,2
1782909845936,3
1782909846440,3
1782909846945,4
1782909847448,1
1782909847951,1
1782909848455,2
1782909848958,3
1782909849463,4
1782909849966,2
1782909850470,3
1782909850972,1
1782909851474,2
1782909851981,5
1782909852483,1
1782909852988,3
1782909853492,3
1782909853996,3
1782909854498,1
1782909855001,1
1782909855505,3
1782909856008,2
1782909856512,4
1782909857015,1
1782909857517,1
1782909858018,1
1782909858521,2
1782909859024,2
1782909859527,1
1782909860029,2
1782909860532,3
1782909861037,3
1782909861542,3
1782909862045,2
1782909862550,3
1782909863053,2
1782909863556,2
1782909864059,3
1782909864564,3
1782909865066,2
1782909865570,3
1782909866072,1
1782909866576,2
1782909867080,3
1782909867584,3
1782909868089,4
1782909868592,1
1782909869094,1
1782909869600,4
1782909870102,1
1782909870606,3
1782909871110,3
1782909871614,3
1782909872117,1
1782909872620,2
1782909873122,1
1782909873624,1
1782909874126,2
1782909874630,2
1782909875133,2
1782909875635,1
1782909876140,3
1782909876643,3
1782909877148,3
1782909877651,2
1782909878154,2
1782909878658,3
1782909879160,1
1782909879663,2
1782909880165,1
1782909880668,1
1782909881171,2
1782909881674,2
1782909882180,5
1782909882682,2
1782909883185,2
1782909883688,3
1782909884191,2
1782909884695,3
1782909885197,2
1782909885699,2
1782909886204,3
1782909886707,2
1782909887210,2
1782909887714,2
1782909888217,2
1782909888721,2
1782909889226,3
1782909889727,1
1782909890229,2
1782909890733,3
1782909891237,3
1782909891741,3
1782909892244,2
1782909892748,3
1782909893251,2
1782909893755,3
1782909894259,3
1782909894761,2
1782909895264,2
1782909895766,2
1782909896269,2
1782909896772,3
1782909897277,3
1782909897781,3
1782909898285,2
1782909898788,2
1782909899291,1
1782909899795,3
1782909900297,1
1782909900799,2
1782909901303,3
1782909901807,3
1782909902309,2
1782909902813,4
1782909903316,3
1782909903820,3
1782909904322,2
1782909904825,2
1782909905327,1
1782909905830,1
1782909906335,3
1782909906838,3
1782909907340,1
1782909907843,2
1782909908346,2
1782909908849,3
1782909909353,2
1782909909857,3
1782909910361,3
1782909910862,1
1782909911366,2
1782909911869,2
1782909912372,1
1782909912877,3
1782909913380,1
1782909913884,2
1782909914387,2
1782909914890,3
1782909915393,2
1782909915895,1
1782909916398,3
1782909916902,3
1782909917405,2
1782909917907,2
1782909918410,2
1782909918913,3
1782909919415,2
