t,ready,unacked,depth
1782909839403,0,1,1
1782909839909,0,1,1
1782909840415,0,1,1
1782909840920,0,1,1
1782909841424,0,1,1
1782909841927,0,1,1
1782909842432,0,1,1
1782909842939,0,1,1
1782909843445,0,1,1
1782909843952,0,1,1
1782909844459,0,1,1
1782909844964,0,1,1
1782909845467,0,1,1
1782909845972,121,3,124
1782909846480,121,3,124
1782909846989,121,3,124
1782909847492,121,3,124
1782909848000,121,3,124
1782909848505,121,3,124
1782909849011,121,3,124
1782909849518,121,3,124
1782909850022,121,3,124
1782909850527,121,3,124
1782909851032,113,3,116
1782909851536,113,3,116
1782909852041,113,3,116
1782909852543,113,3,116
1782909853050,113,3,116
1782909853557,113,3,116
1782909854064,113,3,116
1782909854569,113,3,116
1782909855075,113,3,116
1782909855582,113,3,116
1782909856091,102,3,105
1782909856597,102,3,105
1782909857101,102,3,105
1782909857604,102,3,105
1782909858106,102,3,105
1782909858612,102,3,105
1782909859118,102,3,105
1782909859622,102,3,105
1782909860126,102,3,105
1782909860633,102,3,105
1782909861138,97,3,100
1782909861647,97,3,100
1782909862153,97,3,100
1782909862660,97,3,100
1782909863163,97,3,100
1782909863667,97,3,100
1782909864174,97,3,100
1782909864682,97,3,100
1782909865187,97,3,100
1782909865693,97,3,100
1782909866198,87,3,90
1782909866706,87,3,90
1782909867210,87,3,90
1782909867717,87,3,90
1782909868222,87,3,90
1782909868726,87,3,90
1782909869231,87,3,90
1782909869738,87,3,90
1782909870246,87,3,90
1782909870750,87,3,90
1782909871258,78,3,81
1782909871766,78,3,81
1782909872272,78,3,81
1782909872778,78,3,81
1782909873283,78,3,81
1782909873787,78,3,81
1782909874292,78,3,81
1782909874799,78,3,81
1782909875304,78,3,81
1782909875808,78,3,81
1782909876311,68,3,71
1782909876818,68,3,71
1782909877325,68,3,71
1782909877832,68,3,71
1782909878336,68,3,71
1782909878840,68,3,71
1782909879345,68,3,71
1782909879850,68,3,71
1782909880355,68,3,71
1782909880859,68,3,71
1782909881363,68,3,71
1782909881869,68,3,71
1782909882374,68,3,71
1782909882881,68,3,71
1782909883386,68,3,71
1782909883891,68,3,71
1782909884394,68,3,71
1782909884899,68,3,71
1782909885404,68,3,71
1782909885910,68,3,71
1782909886415,60,3,63
1782909886920,60,3,63
1782909887424,60,3,63
1782909887930,60,3,63
1782909888435,60,3,63
1782909888940,60,3,63
1782909889442,60,3,63
1782909889947,60,3,63
1782909890453,60,3,63
1782909890957,55,3,58
1782909891460,55,3,58
1782909891967,55,3,58
1782909892473,55,3,58
1782909892978,55,3,58
1782909893482,55,3,58
1782909893986,55,3,58
1782909894492,55,3,58
1782909894995,55,3,58
1782909895502,55,3,58
1782909896004,45,3,48
1782909896509,45,3,48
1782909897014,45,3,48
1782909897521,45,3,48
1782909898026,45,3,48
1782909898532,45,3,48
1782909899035,45,3,48
1782909899540,45,3,48
1782909900043,45,3,48
1782909900547,45,3,48
1782909901052,36,3,39
1782909901557,36,3,39
1782909902063,36,3,39
1782909902565,36,3,39
1782909903071,36,3,39
1782909903577,36,3,39
1782909904081,36,3,39
1782909904588,36,3,39
1782909905094,36,3,39
1782909905598,36,3,39
1782909906115,26,3,29
1782909906621,26,3,29
1782909907127,26,3,29
1782909907633,26,3,29
1782909908138,26,3,29
1782909908641,26,3,29
1782909909147,26,3,29
1782909909657,26,3,29
1782909910163,26,3,29
1782909910665,26,3,29
1782909911170,17,3,20
1782909911674,17,3,20
1782909912181,17,3,20
1782909912687,17,3,20
1782909913193,17,3,20
1782909913700,17,3,20
1782909914203,17,3,20
1782909914708,17,3,20
1782909915216,17,3,20
1782909915720,17,3,20
1782909916224,7,3,10
1782909916731,7,3,10
1782909917235,7,3,10
1782909917739,7,3,10
1782909918242,7,3,10
1782909918749,7,3,10
1782909919254,7,3,10
1782909919761,7,3,10
