t,latencyMs
1782909343261,3
1782909343763,2
1782909344266,2
1782909344768,2
1782909345272,3
1782909345776,3
1782909346281,4
1782909346786,3
1782909347288,2
1782909347792,3
1782909348296,3
1782909348801,4
1782909349305,3
1782909349808,2
1782909350311,2
1782909350815,3
1782909351321,4
1782909351825,3
1782909352328,2
1782909352830,1
1782909353332,2
1782909353837,4
1782909354341,3
1782909354846,4
1782909355348,1
1782909355852,3
1782909356356,2
1782909356862,5
1782909357365,2
1782909357869,3
1782909358373,3
1782909358879,4
1782909359382,2
1782909359885,2
1782909360393,7
1782909360897,4
1782909361404,7
1782909361908,3
1782909362411,2
1782909362914,3
1782909363417,2
1782909363919,2
1782909364424,3
1782909364927,2
1782909365429,2
1782909365934,4
1782909366438,4
1782909366941,2
1782909367444,2
1782909367948,3
1782909368451,2
1782909368955,2
1782909369458,2
1782909369961,2
